epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1336.1,5.01311,23.8518,3.09736,0,0,0,0,4.89202,78.3212,3.14233,0.00054956,0.00054956,0.00054956
2,2922.41,2.35773,3.49603,1.41714,0.87987,0.35493,0.40885,0.17467,2.00152,2.6419,1.19898,0.00108334,0.00108334,0.00108334
3,5458.59,1.99136,2.21076,1.19464,0.96273,0.46416,0.5527,0.28904,1.59856,1.81405,1.0317,0.00159512,0.00159512,0.00159512
4,7261.23,1.73867,1.72339,1.0835,0.79958,0.69829,0.83394,0.35779,1.58746,1.4787,1.02385,0.00156798,0.00156798,0.00156798
5,8725.24,1.51638,1.40618,1.00901,0.89937,0.81987,0.88518,0.49787,1.34392,1.10122,0.94339,0.00153497,0.00153497,0.00153497
6,10226.8,1.51544,1.2461,1.00785,0.96704,0.87554,0.90884,0.53283,1.34864,0.99504,0.94718,0.00150197,0.00150197,0.00150197
7,11750.3,1.41721,1.09031,0.985,0.88721,0.64417,0.69747,0.41372,1.29667,1.02013,0.93793,0.00146896,0.00146896,0.00146896
8,13646.1,1.35972,0.96434,0.96333,0.98367,0.91069,0.93687,0.57936,1.27499,0.80329,0.93121,0.00143595,0.00143595,0.00143595
9,15903.5,1.40095,0.92262,0.97312,0.93928,0.89664,0.9297,0.54448,1.25866,0.77797,0.92209,0.00140295,0.00140295,0.00140295
10,17441.8,1.27562,0.81261,0.93856,0.96164,0.88796,0.93023,0.48109,1.50534,0.77829,0.97799,0.00136994,0.00136994,0.00136994
11,18878.4,1.27265,0.78358,0.94121,0.92567,0.86157,0.89586,0.49195,1.21402,0.73404,0.90039,0.00133693,0.00133693,0.00133693
12,20236.6,1.20854,0.71732,0.92116,0.99348,0.93666,0.95036,0.55031,1.19966,0.66389,0.89175,0.00130393,0.00130393,0.00130393
13,21557.6,1.20491,0.68987,0.92201,0.98341,0.94832,0.97045,0.615,1.14295,0.57265,0.88998,0.00127092,0.00127092,0.00127092
14,22865.9,1.15122,0.66183,0.90999,0.9805,0.94551,0.96133,0.57222,1.107,0.57163,0.88077,0.00123791,0.00123791,0.00123791
15,24087.3,1.18114,0.64734,0.91143,0.9832,0.95923,0.96593,0.55396,1.12764,0.58661,0.88118,0.00120491,0.00120491,0.00120491
16,25726.3,1.13987,0.61029,0.90497,0.9669,0.95463,0.97263,0.62694,1.04959,0.53161,0.8742,0.0011719,0.0011719,0.0011719
17,27061.3,1.15668,0.60554,0.90557,0.97159,0.95742,0.97644,0.62866,1.01895,0.52836,0.86322,0.00113889,0.00113889,0.00113889
18,28436.2,1.09517,0.58014,0.89808,0.98554,0.9577,0.97952,0.64331,0.9748,0.49591,0.85739,0.00110589,0.00110589,0.00110589
19,29648.8,1.08367,0.5724,0.89169,0.9667,0.96542,0.9718,0.64605,0.95195,0.48184,0.8509,0.00107288,0.00107288,0.00107288
20,31086.3,1.05334,0.5605,0.89052,0.97314,0.9754,0.98135,0.62054,0.95898,0.48865,0.85944,0.00103987,0.00103987,0.00103987
21,32968.4,1.05833,0.55949,0.88799,0.98359,0.97978,0.98207,0.66614,1.0042,0.49362,0.8596,0.00100687,0.00100687,0.00100687
22,34367.9,1.03131,0.54035,0.8751,0.98601,0.9848,0.98595,0.62699,1.01377,0.50157,0.86374,0.000973861,0.000973861,0.000973861
23,35690.9,1.01762,0.5349,0.87758,0.99073,0.98905,0.98756,0.68291,0.91933,0.45913,0.84547,0.000940855,0.000940855,0.000940855
24,37030.4,1.0136,0.51693,0.87395,0.98447,0.97706,0.98154,0.67198,0.94868,0.46204,0.84994,0.000907848,0.000907848,0.000907848
25,38370.2,0.98537,0.50228,0.87656,0.99078,0.98554,0.98649,0.68875,0.87968,0.43207,0.84365,0.000874842,0.000874842,0.000874842
26,39744.3,0.97449,0.49425,0.86665,0.98541,0.98134,0.98331,0.68379,0.86797,0.4315,0.83908,0.000841835,0.000841835,0.000841835
27,41071.8,0.94805,0.486,0.87069,0.98624,0.98499,0.98249,0.69037,0.87938,0.42838,0.84206,0.000808828,0.000808828,0.000808828
28,42488.9,0.96796,0.49219,0.87783,0.99251,0.97914,0.98821,0.70304,0.84746,0.41448,0.83814,0.000775822,0.000775822,0.000775822
29,44097.1,0.95407,0.47681,0.8663,0.9885,0.98722,0.98849,0.69508,0.83333,0.41396,0.83299,0.000742815,0.000742815,0.000742815
30,45459.6,0.94292,0.48464,0.86298,0.99035,0.98231,0.9888,0.69187,0.91385,0.4262,0.84403,0.000709809,0.000709809,0.000709809
31,46859,0.93182,0.46355,0.86083,0.99574,0.98899,0.98933,0.69793,0.85114,0.4119,0.8306,0.000676802,0.000676802,0.000676802
32,48214.7,0.92346,0.46895,0.85923,0.98894,0.98647,0.98382,0.69873,0.82787,0.40178,0.82971,0.000643795,0.000643795,0.000643795
33,50121.3,0.8935,0.45183,0.85872,0.99339,0.98798,0.98918,0.71845,0.81625,0.39818,0.83129,0.000610789,0.000610789,0.000610789
34,51784,0.90061,0.45169,0.85749,0.99457,0.9894,0.98965,0.71914,0.80287,0.39227,0.82427,0.000577782,0.000577782,0.000577782
35,53685.4,0.88916,0.45144,0.85227,0.99438,0.98995,0.98927,0.72615,0.80604,0.40078,0.82859,0.000544776,0.000544776,0.000544776
36,55741,0.90313,0.45115,0.85491,0.99265,0.98763,0.98753,0.71336,0.81182,0.39141,0.82683,0.000511769,0.000511769,0.000511769
37,57782.9,0.88386,0.44205,0.85325,0.989,0.98646,0.98353,0.72593,0.8005,0.39334,0.82224,0.000478762,0.000478762,0.000478762
38,59719.1,0.86773,0.42867,0.85313,0.99232,0.98798,0.98858,0.71947,0.77594,0.38505,0.82112,0.000445756,0.000445756,0.000445756
39,61876.9,0.87037,0.43244,0.85317,0.99162,0.98798,0.98718,0.72093,0.76474,0.37917,0.8204,0.000412749,0.000412749,0.000412749
40,63292.1,0.85579,0.42579,0.854,0.99308,0.99055,0.98916,0.72607,0.81491,0.38936,0.8296,0.000379743,0.000379743,0.000379743
41,65100,0.84832,0.43151,0.85381,0.99437,0.99081,0.99014,0.72832,0.75556,0.37479,0.81938,0.000346736,0.000346736,0.000346736
42,66641.4,0.82052,0.41428,0.85284,0.98879,0.98656,0.98395,0.72435,0.80098,0.38616,0.82453,0.000313729,0.000313729,0.000313729
43,68102,0.81798,0.40856,0.85822,0.99191,0.98921,0.98757,0.72447,0.7723,0.38077,0.81915,0.000280723,0.000280723,0.000280723
44,69501.1,0.79019,0.39806,0.85238,0.99329,0.9894,0.98872,0.70673,0.74803,0.36783,0.81988,0.000247716,0.000247716,0.000247716
45,70890.6,0.80681,0.40073,0.85027,0.99193,0.98706,0.9875,0.74075,0.73584,0.36505,0.81626,0.00021471,0.00021471,0.00021471
46,72798.2,0.77721,0.39283,0.85015,0.99035,0.98626,0.98255,0.72072,0.7727,0.36208,0.82108,0.000181703,0.000181703,0.000181703
47,74718.9,0.77565,0.38804,0.84225,0.99301,0.9894,0.98852,0.73602,0.74565,0.35992,0.8168,0.000148696,0.000148696,0.000148696
48,77152.1,0.75845,0.38367,0.84483,0.99294,0.99025,0.99088,0.75405,0.74356,0.3617,0.81989,0.00011569,0.00011569,0.00011569
49,79283.2,0.74873,0.3779,0.83993,0.99271,0.98905,0.99021,0.74864,0.71884,0.35121,0.81325,8.26832e-05,8.26832e-05,8.26832e-05
50,81205.7,0.74293,0.37561,0.84031,0.99327,0.9882,0.9903,0.75577,0.70403,0.34395,0.81224,4.96766e-05,4.96766e-05,4.96766e-05
